relation,description,title
P135,"movement literary, artistic, scientific or philosophical movement or scene associated with this person or work school trend music scene artistic movement philosophical movement scientific movement literary movement artistic school art movement",movement
P179,part of the series series which contains the subject part of series series listed in collection issue of,part of the series
P571,inception date or point in time when the subject came into existence as defined date founded date created incorporated foundation created date of foundation date of creation established establishment date foundation date creation date incorporation date date incorporated date of incorporation date of establishment founding date date of founding date formed formation date formed on date founded on date incorporated on date established on date created on date commencement date date commenced commenced on date date of commencement time of foundation or creation date of foundation or creation written on date time of inception year founded year created year incorporated year written year commenced year established date constructed construction date constructed inititated formation dedication date formed in formed at inaugurated launch date introduced introduction completed first issue built foundation / creation date founded launched,inception
P36,"capital seat of government of a country, province, state or other type of administrative territorial entity capital city capital town chef-lieu principal place county seat administrative centre administrative headquarters has capital court residence seat administrative seat seat of government administrative capital government capital county town",capital
P138,"named after entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one eponym named for namesake etymology toponym name after named in honor of linked with",named after
P162,"producer person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178] record producer film producer produced by",producer
P2176,"drug or therapy used for treatment drug, procedure, or therapy that can be used to treat a medical condition used for treatment treatment prescribed drug treated by",drug or therapy used for treatment
P186,made from material material the subject or the object is made of or derived from medium made from constructed from constructed out of construction material media built from built out of manufactured from manufactured out of crafted from crafted out of formed from formed out of made of ore source material raw material feedstock reactant ingredient ingredients made in be made in material used,made from material
P452,industry specific industry of company or organization field of action field of exercise sector branch economic branch,industry
P17,country sovereign state of this item (not to be used for human beings) sovereign state state land host country,country
P570,date of death date on which the subject died date of the end death date died on DOD year of death dead deathdate death,date of death
P27,country of citizenship the object is a country that recognizes the subject as its citizen subject of (country) citizenship citizen of national of (legal) nationality,country of citizenship
P740,location of formation location where a group or organization was formed originates from comes from place of foundation founded in formation location source location of group/organisation formed in from place of formation place of incorporation,location of formation
P569,date of birth date on which the subject was born born on birth date birthdate birth year year of birth birthyear DOB,date of birth
P1346,"winner winner of a competition or similar event - do not use  on award items. Instead, use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686). Not for wars or battles either won by victor champion winners champ top dog leader titleholder prizewinner 1st place medalist awardee nominee",winner
P50,"author main creator(s) of a written work (use on works, not humans); use P2093 when Wikidata item is unknown or does not exist written by writer writers authors author(s) writer(s) by creator",author
P20,"place of death most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character deathplace died in death place POD location of death death location killed in",place of death
P282,"writing system alphabet, character set or other system of writing used by a language, supported by a typeface alphabet script",writing system
P607,"conflict battles, wars or other military engagements in which the person or item participated war battle participated in conflict participant in conflict in conflict in action theater (military) theatre (military) military conflict military engagement engagement",conflict
P264,record label brand and trademark associated with the marketing of subject music recordings and music videos label,record label
P2184,"history of topic item about the historical development of an subject's topic, sample: ""history of Argentina"" for ""Argentina"". To list key events of the topic, use ""significant event"" (P793) timeline of topic chronology of topic",history of topic
P159,"headquarters location city, where an organization's headquarters is or has been situated. Use P276 qualifier for specific building head office location HQ garrison admin HQ seat principle office headquarters head quarters HQ location based in location of headquarters",headquarters location
P47,"shares border with countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough. bordered by adjacent to next to border borders clockwise",shares border with
P58,screenwriter person(s) who wrote the script for subject item scriptwriter screenplay by teleplay by writer (of screenplays) film script by written by writing credits,screenwriter
P828,"has cause underlying cause, thing that ultimately resulted in this effect cause has causes has underlying cause underlying cause ultimate cause ultimate causes initial cause effect of outcome of result of has reason reason caused by implied by because due to originated due to had cause had reason had underlying cause why",has cause
P527,"has part part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670). formed from formed out of assembled from assembled out of created from created out of amalgamation of set of consists of holonym of parts comprised of includes part has as part has component have part composed of has ingredient has ingredients ingredients contain contains includes has member has branch divided by incorporates",has part
P40,child subject has object as child. Do not use for stepchildren son daughter kid has child children sons daughters kids has children has son has sons has daughter has daughters has kid has kids offspring progeny issue parent of descendants,child
P1064,track gauge spacing of the rails on a railway track gauge,track gauge
P137,"operator person, profession, or organization that operates the equipment, facility, or service service operator facility operator operated by managed by administrator item operator user webmaster",operator
P54,member of sports team sports teams or clubs that the subject represents or represented member of team team played for teams played for of team club played for player of part of team team played for plays for sport team,member of sports team
P488,"chairperson presiding member of an organization, group or body leader headed by chairwoman president chair chairman dean",chairperson
P86,"composer person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)] songwriter composed by musical score by music by written by",composer
P84,architect person or architectural firm responsible for designing this building architecture firm,architect
P25,"mother female parent of the subject. For stepmother, use ""stepparent"" (P3448) mum mom mam has mother parent is son of is daughter of is child of son of daughter of child of mummy",mother
P610,"highest point point with highest elevation in a region, or on the path of a race or route highest peak zenith summit extreme point highest pinnacle elevation of highest point",highest point
P1191,"date of first performance date a work was first debuted, performed or live-broadcasted premiere time of first performance premiere date date of first performance first performance date",date of first performance
P166,"award received award or recognition received by a person, organisation or creative work prize received awards honorary title recognition title award honours honors medals awarded award won prize awarded awards received win winner of",award received
P19,"place of birth most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character birthplace born in POB birth place location born born at birth location location of birth birth city",place of birth
